Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),25.59
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.01
60.00,24.00
90.00,24.02
120.00,24.00
150.00,24.00
180.00,23.98
210.00,23.99
240.00,24.01
270.00,23.99
300.00,24.02
330.00,24.92
360.00,26.39
390.00,27.50
420.00,28.24
450.00,28.65
480.00,28.93
510.00,29.09
540.00,29.17
570.00,29.20
600.00,29.24
630.00,29.24
660.00,29.25
690.00,29.25
720.00,29.25
750.00,29.22
780.00,29.24
810.00,29.22
840.00,29.23
870.00,29.23
900.00,29.22
930.00,29.22
960.00,29.22
