Frequency (Hz)	Level (dB)
0.976562	-97.314484
1.953125	-97.158821
2.929688	-96.700417
3.906250	-95.918968
4.882812	-95.833023
5.859375	-95.267952
6.835938	-94.130402
7.812500	-96.137314
8.789062	-95.559746
9.765625	-93.743240
10.742188	-91.932175
11.718750	-91.168434
12.695312	-91.010010
13.671875	-91.294189
14.648438	-92.286270
15.625000	-92.312813
16.601562	-91.066353
17.578125	-91.193398
18.554688	-89.059692
19.531250	-89.867180
20.507812	-90.579941
21.484375	-88.599464
22.460938	-86.937538
23.437500	-87.602081
24.414062	-87.950294
25.390625	-87.679016
26.367188	-86.818802
27.343750	-87.935440
28.320312	-87.993034
29.296875	-87.180977
30.273438	-87.319916
31.250000	-88.283676
32.226562	-88.363708
33.203125	-88.033577
34.179688	-87.081856
35.156250	-86.560204
36.132812	-86.792183
37.109375	-86.176720
38.085938	-87.464081
39.062500	-87.389488
40.039062	-85.660255
41.015625	-86.026550
41.992188	-86.565796
42.968750	-85.211319
43.945312	-86.585228
44.921875	-87.264542
45.898438	-85.408958
46.875000	-84.192047
47.851562	-85.603905
48.828125	-83.300735
49.804688	-85.579147
50.781250	-86.280319
51.757812	-83.884254
52.734375	-85.199234
53.710938	-84.666862
54.687500	-85.362793
55.664062	-86.186768
56.640625	-83.418625
57.617188	-83.005035
58.593750	-82.376961
59.570312	-79.646118
60.546875	-82.555199
61.523438	-83.267937
62.500000	-83.607292
63.476562	-83.478378
64.453125	-84.897408
65.429688	-85.057526
66.406250	-85.448738
67.382812	-84.950523
68.359375	-84.200012
69.335938	-84.386253
70.312500	-83.677719
71.289062	-83.208710
72.265625	-83.649536
73.242188	-83.878403
74.218750	-81.843781
75.195312	-82.311409
76.171875	-80.507118
77.148438	-80.801155
78.125000	-80.843269
79.101562	-81.979057
80.078125	-77.063240
81.054688	-77.999306
82.031250	-79.801086
83.007812	-81.259521
83.984375	-79.353477
84.960938	-78.805588
85.937500	-78.265190
86.914062	-78.226738
87.890625	-77.618469
88.867188	-76.511940
89.843750	-80.820473
90.820312	-80.624252
91.796875	-80.778191
92.773438	-80.438736
93.750000	-76.417114
94.726562	-83.345818
95.703125	-83.336601
96.679688	-83.079079
97.656250	-83.184677
98.632812	-84.070534
99.609375	-84.053825
100.585938	-84.416664
101.562500	-84.389534
102.539062	-83.418922
103.515625	-84.405540
104.492188	-83.188751
105.468750	-83.820160
106.445312	-82.716110
107.421875	-81.546959
108.398438	-82.406601
109.375000	-83.765358
110.351562	-83.741585
111.328125	-82.403633
112.304688	-82.009346
113.281250	-81.810875
114.257812	-81.595627
115.234375	-80.847092
116.210938	-79.573311
117.187500	-76.559036
118.164062	-68.454880
119.140625	-65.991325
120.117188	-72.536545
121.093750	-74.247498
122.070312	-79.843636
123.046875	-81.343117
124.023438	-81.659691
125.000000	-81.947823
125.976562	-83.141701
126.953125	-81.945869
127.929688	-82.481483
128.906250	-82.738007
129.882812	-82.822212
130.859375	-83.564552
131.835938	-82.673027
132.812500	-82.435974
133.789062	-82.063835
134.765625	-84.202217
135.742188	-83.414757
136.718750	-82.645226
137.695312	-82.600929
138.671875	-81.435898
139.648438	-83.342560
140.625000	-82.839478
141.601562	-83.056160
142.578125	-83.244446
143.554688	-81.669037
144.531250	-82.775459
145.507812	-83.761139
146.484375	-83.405220
147.460938	-82.245430
148.437500	-81.936356
149.414062	-82.860817
150.390625	-84.366982
151.367188	-82.842476
152.343750	-82.049034
153.320312	-83.160034
154.296875	-82.095772
155.273438	-81.251900
156.250000	-83.025780
